,Title,Price,Link
10,"HP 15, 13th Gen Intel Core i5-1334U, 8GB DDR4, 512GB SSD, 15.6-inch(39.6cm), Anti-Glare, FHD Laptop, Intel UHD Graphics, Backlit KB, 1080p FHD Camera (Win 11, Office 21, Silver, 1.59kg) fd0220TU","51,990",https://amazon.in//HP-i5-1334U-15-6-inch-Speakers-15-fd0220TU/dp/B0CY2PZZJB/ref=sr_1_36?crid=2MW5PS1STZ96S&dib=eyJ2IjoiMSJ9.AMfoNDt7iHC7suJpGP8QSfqo0c5EaDaS88L4ZY2RWbZSByr7mhqqZ7Btf3PkhhYpH3rPoQo7K1OVzpYXcjdUx526gTo9U37OTE0hhwe-LBn9n8SmjV2_fbtpJBGVSjPorgareFlFKNAwLfNiL97q5PJjQNXKeExFXGvekQoIqQN_D-sM3BJu-85yhzvMLqo4wpOzU19SzZrHbSDckk20HiOunhlTEnqfQxu0XSIqlBc.LWhcj22sFsv3jX7v8fM8Z9s6jNz6p8k4BCxSCN8KgC0&dib_tag=se&keywords=laptop&qid=1735278342&sprefix=%2Caps%2C265&sr=8-36
11,"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.69kg Laptop","34,990",https://amazon.in//Dell-Smartchoice-i3-1215U-Processor-Spill-Resistant/dp/B0BQJ68HHC/ref=sr_1_40?crid=2MW5PS1STZ96S&dib=eyJ2IjoiMSJ9.AMfoNDt7iHC7suJpGP8QSfqo0c5EaDaS88L4ZY2RWbZSByr7mhqqZ7Btf3PkhhYpH3rPoQo7K1OVzpYXcjdUx526gTo9U37OTE0hhwe-LBn9n8SmjV2_fbtpJBGVSjPorgareFlFKNAwLfNiL97q5PJjQNXKeExFXGvekQoIqQN_D-sM3BJu-85yhzvMLqo4wpOzU19SzZrHbSDckk20HiOunhlTEnqfQxu0XSIqlBc.LWhcj22sFsv3jX7v8fM8Z9s6jNz6p8k4BCxSCN8KgC0&dib_tag=se&keywords=laptop&qid=1735278326&sprefix=%2Caps%2C265&sr=8-40
12,"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","33,990",https://amazon.in//Acer-5-5625U-Premium-Windows-AL15-41/dp/B0DG2GCTD7/ref=sr_1_38?crid=2MW5PS1STZ96S&dib=eyJ2IjoiMSJ9.AMfoNDt7iHC7suJpGP8QSfqo0c5EaDaS88L4ZY2RWbZSByr7mhqqZ7Btf3PkhhYpH3rPoQo7K1OVzpYXcjdUx526gTo9U37OTE0hhwe-LBn9n8SmjV2_fbtpJBGVSjPorgareFlFKNAwLfNiL97q5PJjQNXKeExFXGvekQoIqQN_D-sM3BJu-85yhzvMLqo4wpOzU19SzZrHbSDckk20HiOunhlTEnqfQxu0XSIqlBc.LWhcj22sFsv3jX7v8fM8Z9s6jNz6p8k4BCxSCN8KgC0&dib_tag=se&keywords=laptop&qid=1735278342&sprefix=%2Caps%2C265&sr=8-38
13,"ASUS TUF Gaming A15, AMD Ryzen 7 7435Hs, 15.6-Inch, FHD 144Hz, Gaming Laptop (16GB RAM/512GB SSD/NVIDIA Geforce RTX 3050/Windows 11/48WHR/Graphite Black/2.3 Kg), FA506NCR-HN054W","71,990",https://amazon.in//ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J/ref=sr_1_39?crid=2MW5PS1STZ96S&dib=eyJ2IjoiMSJ9.AMfoNDt7iHC7suJpGP8QSfqo0c5EaDaS88L4ZY2RWbZSByr7mhqqZ7Btf3PkhhYpH3rPoQo7K1OVzpYXcjdUx526gTo9U37OTE0hhwe-LBn9n8SmjV2_fbtpJBGVSjPorgareFlFKNAwLfNiL97q5PJjQNXKeExFXGvekQoIqQN_D-sM3BJu-85yhzvMLqo4wpOzU19SzZrHbSDckk20HiOunhlTEnqfQxu0XSIqlBc.LWhcj22sFsv3jX7v8fM8Z9s6jNz6p8k4BCxSCN8KgC0&dib_tag=se&keywords=laptop&qid=1735278342&sprefix=%2Caps%2C265&sr=8-39
14,"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.69kg Laptop","34,990",https://amazon.in//Dell-Smartchoice-i3-1215U-Processor-Spill-Resistant/dp/B0BQJ68HHC/ref=sr_1_40?crid=2MW5PS1STZ96S&dib=eyJ2IjoiMSJ9.AMfoNDt7iHC7suJpGP8QSfqo0c5EaDaS88L4ZY2RWbZSByr7mhqqZ7Btf3PkhhYpH3rPoQo7K1OVzpYXcjdUx526gTo9U37OTE0hhwe-LBn9n8SmjV2_fbtpJBGVSjPorgareFlFKNAwLfNiL97q5PJjQNXKeExFXGvekQoIqQN_D-sM3BJu-85yhzvMLqo4wpOzU19SzZrHbSDckk20HiOunhlTEnqfQxu0XSIqlBc.LWhcj22sFsv3jX7v8fM8Z9s6jNz6p8k4BCxSCN8KgC0&dib_tag=se&keywords=laptop&qid=1735278342&sprefix=%2Caps%2C265&sr=8-40
15,HP 14s Core i3 12th Gen (8GB RAM/512GB SSD/FHD/14 (35.6 cm)/ Windows 11/ MS Office 21/Backlit Keyboard/Silver/1.46kg) dq5138TU Laptop,"37,949",https://amazon.in//HP-i3-1215U-14-inch-Speakers-14s-dq5138TU/dp/B0CXMX4NJ2/ref=sr_1_41?crid=2MW5PS1STZ96S&dib=eyJ2IjoiMSJ9.AMfoNDt7iHC7suJpGP8QSfqo0c5EaDaS88L4ZY2RWbZSByr7mhqqZ7Btf3PkhhYpH3rPoQo7K1OVzpYXcjdUx526gTo9U37OTE0hhwe-LBn9n8SmjV2_fbtpJBGVSjPorgareFlFKNAwLfNiL97q5PJjQNXKeExFXGvekQoIqQN_D-sM3BJu-85yhzvMLqo4wpOzU19SzZrHbSDckk20HiOunhlTEnqfQxu0XSIqlBc.LWhcj22sFsv3jX7v8fM8Z9s6jNz6p8k4BCxSCN8KgC0&dib_tag=se&keywords=laptop&qid=1735278342&sprefix=%2Caps%2C265&sr=8-41
16,"DELL Latitude 3540 (2024) Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" HD Display/Smoky Black/1.8 kg/MS Office 2021","32,700",https://amazon.in//DELL-Latitude-3540-Intel-1215U/dp/B079DH6Q84/ref=sr_1_42?crid=2MW5PS1STZ96S&dib=eyJ2IjoiMSJ9.AMfoNDt7iHC7suJpGP8QSfqo0c5EaDaS88L4ZY2RWbZSByr7mhqqZ7Btf3PkhhYpH3rPoQo7K1OVzpYXcjdUx526gTo9U37OTE0hhwe-LBn9n8SmjV2_fbtpJBGVSjPorgareFlFKNAwLfNiL97q5PJjQNXKeExFXGvekQoIqQN_D-sM3BJu-85yhzvMLqo4wpOzU19SzZrHbSDckk20HiOunhlTEnqfQxu0XSIqlBc.LWhcj22sFsv3jX7v8fM8Z9s6jNz6p8k4BCxSCN8KgC0&dib_tag=se&keywords=laptop&qid=1735278342&sprefix=%2Caps%2C265&sr=8-42
17,"ASUS Vivobook 16 (2023), Intel Core i9-13900H 13th Gen, Thin & Light Laptop, 16"" (40.64 cm) FHD+,(16GB/512GB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Silver/1.88 kg) X1605VA-MB946WS","79,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4NTY5MDkyNDU3ODk3NDMwOjE3MzUyNzgzNDI6c3BfbXRmOjMwMDI4Mjc3MTIyOTAzMjo6MDo6&url=%2FASUS-Vivobook-i9-13900H-Fingerprint-X1605VA-MB946WS%2Fdp%2FB0CHMYJ9BK%2Fref%3Dsr_1_43_sspa%3Fcrid%3D2MW5PS1STZ96S%26dib%3DeyJ2IjoiMSJ9.AMfoNDt7iHC7suJpGP8QSfqo0c5EaDaS88L4ZY2RWbZSByr7mhqqZ7Btf3PkhhYpH3rPoQo7K1OVzpYXcjdUx526gTo9U37OTE0hhwe-LBn9n8SmjV2_fbtpJBGVSjPorgareFlFKNAwLfNiL97q5PJjQNXKeExFXGvekQoIqQN_D-sM3BJu-85yhzvMLqo4wpOzU19SzZrHbSDckk20HiOunhlTEnqfQxu0XSIqlBc.LWhcj22sFsv3jX7v8fM8Z9s6jNz6p8k4BCxSCN8KgC0%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1735278342%26sprefix%3D%252Caps%252C265%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
18,"HP Laptop 14, Intel Core Ultra 7 155H, Built-in AI, 14-inch (35.6 cm), FHD, 16GB DDR5, 512GB SSD, Intel Arc Graphics, 1080p FHD Camera w/Privacy Shutter, Backlit KB (Win 11, Silver, 1.4 kg), gr1023TU","82,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4NTY5MDkyNDU3ODk3NDMwOjE3MzUyNzgzNDI6c3BfbXRmOjMwMDM0MjQ3NzY5ODYzMjo6MDo6&url=%2FHP-14-inch-Graphics-Privacy-gr1023TU%2Fdp%2FB0D8J85F5X%2Fref%3Dsr_1_44_sspa%3Fcrid%3D2MW5PS1STZ96S%26dib%3DeyJ2IjoiMSJ9.AMfoNDt7iHC7suJpGP8QSfqo0c5EaDaS88L4ZY2RWbZSByr7mhqqZ7Btf3PkhhYpH3rPoQo7K1OVzpYXcjdUx526gTo9U37OTE0hhwe-LBn9n8SmjV2_fbtpJBGVSjPorgareFlFKNAwLfNiL97q5PJjQNXKeExFXGvekQoIqQN_D-sM3BJu-85yhzvMLqo4wpOzU19SzZrHbSDckk20HiOunhlTEnqfQxu0XSIqlBc.LWhcj22sFsv3jX7v8fM8Z9s6jNz6p8k4BCxSCN8KgC0%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1735278342%26sprefix%3D%252Caps%252C265%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
19,HP 14s Core i3 12th Gen (8GB RAM/512GB SSD/FHD/14 (35.6 cm)/ Windows 11/ MS Office 21/Backlit Keyboard/Silver/1.46kg) dq5138TU Laptop,"37,949",https://amazon.in//HP-i3-1215U-14-inch-Speakers-14s-dq5138TU/dp/B0CXMX4NJ2/ref=sr_1_41?crid=2MW5PS1STZ96S&dib=eyJ2IjoiMSJ9.AMfoNDt7iHC7suJpGP8QSfqo0c5EaDaS88L4ZY2RWbZSByr7mhqqZ7Btf3PkhhYpH3rPoQo7K1OVzpYXcjdUx526gTo9U37OTE0hhwe-LBn9n8SmjV2_fbtpJBGVSjPorgareFlFKNAwLfNiL97q5PJjQNXKeExFXGvekQoIqQN_D-sM3BJu-85yhzvMLqo4wpOzU19SzZrHbSDckk20HiOunhlTEnqfQxu0XSIqlBc.LWhcj22sFsv3jX7v8fM8Z9s6jNz6p8k4BCxSCN8KgC0&dib_tag=se&keywords=laptop&qid=1735278326&sprefix=%2Caps%2C265&sr=8-41
